"pollution_id","city_id","date_time","local_time","aqi","co","no","no2","o3","so2","pm2_5","pm10","nh3"
1,1,"2024-09-05 00:15:00","2024-09-05 08:15:00",2,387.19,NaN,33.24,23.96,28.13,NaN,26.45,2.25
2,2,"2024-09-05 00:15:00","2024-09-05 04:45:00",5,2429.96,NaN,45.24,0.08,19.79,173.9,193.76,5.45
3,3,"2024-09-05 00:15:00","2024-09-05 07:15:00",5,3631.59,NaN,76.77,3.26,564.58,109.32,139.81,1.79
4,4,"2024-09-05 00:15:00","2024-09-05 05:15:00",1,417.23,NaN,8.65,11.44,1.59,9.22,16.58,7.98
5,5,"2024-09-05 00:15:00","2024-09-04 20:15:00",5,1615.52,NaN,102.82,14.13,30.04,76.42,106.42,14.06
6,6,"2024-09-05 00:15:00","2024-09-05 02:15:00",1,273.71,0,14.05,51.5,9.66,8.22,14.78,33.95
7,7,"2024-09-05 00:15:00","2024-09-04 17:15:00",1,373.84,NaN,19.19,48.64,8.58,3.68,5.42,1.71
8,8,"2024-09-05 00:16:00","2024-09-05 07:16:00",2,467.3,NaN,33.24,13.05,30.99,13.53,20.14,6.14
9,9,"2024-09-05 00:16:00","2024-09-05 04:46:00",1,270.37,NaN,5.48,33.26,7.51,5.83,8.32,0.98
10,10,"2024-09-05 00:16:00","2024-09-05 08:16:00",3,614.17,NaN,59.63,12.16,40.53,NaN,51.9,1.38
11,11,"2024-09-05 00:16:00","2024-09-05 07:16:00",5,700.95,NaN,31.53,68.67,39.58,82.62,92.52,6.52
12,12,"2024-09-05 00:16:00","2024-09-05 04:16:00",2,277.04,0,3.26,33.62,2.5,13.82,31.28,1.52
13,13,"2024-09-05 00:16:00","2024-09-05 00:16:00",3,1241.68,NaN,14.57,12.88,7.57,37.4,62.3,14.19
14,14,"2024-09-05 00:16:00","2024-09-04 20:16:00",2,741.01,NaN,61.01,10.37,12.04,7.04,10.49,3.26
15,15,"2024-09-05 00:16:00","2024-09-05 04:46:00",4,1121.52,NaN,26.39,0.22,27.66,56.86,80.64,9.63
16,16,"2024-09-05 00:16:00","2024-09-05 07:16:00",1,297.07,NaN,2.08,47.92,0.9,1.82,3.59,0.1
17,17,"2024-09-05 00:16:00","2024-09-05 07:16:00",5,2029.42,NaN,33.24,0.62,52.93,183.3,237.31,9.5
18,18,"2024-09-05 00:16:00","2024-09-05 07:16:00",5,727.65,NaN,47.98,12.34,33.38,94.2,101.7,2.47
19,19,"2024-09-05 00:16:00","2024-09-05 04:16:00",5,3150.94,NaN,49.35,0.06,6.86,157.63,168.74,5.89
20,20,"2024-09-05 00:16:00","2024-09-05 04:46:00",1,NaN,0,2.64,25.03,0.42,0.99,1.85,1.71
21,21,"2024-09-05 00:16:00","2024-09-04 20:16:00",2,540.73,0,20.05,65.8,8.7,15.41,34.48,3.9
22,22,"2024-09-05 00:17:00","2024-09-05 07:17:00",5,1642.23,NaN,76.08,5.1,139.24,204.57,243.35,NaN
23,23,"2024-09-05 00:17:00","2024-09-05 04:47:00",2,534.06,NaN,17.82,6.08,7.99,11.09,16.91,6.21
24,24,"2024-09-05 00:17:00","2024-09-04 18:17:00",2,947.95,NaN,51.41,11.62,2.3,13.06,18.48,5.26
25,25,"2024-09-05 00:17:00","2024-09-05 06:17:00",5,19866.94,NaN,153.54,0.29,123.98,742.14,954.89,133.75
26,26,"2024-09-05 00:17:00","2024-09-04 18:17:00",2,413.9,0,25.02,50.07,8.7,16.55,37.89,7.54
27,27,"2024-09-05 00:17:00","2024-09-05 01:17:00",2,277.04,0,7.11,65.09,1.09,6.6,8.24,1.84
28,28,"2024-09-05 00:17:00","2024-09-05 06:17:00",3,921.25,NaN,14.91,0.34,20.98,NaN,56.21,12.29
29,29,"2024-09-05 00:17:00","2024-09-05 04:47:00",1,313.76,NaN,7.28,18.95,5.01,3.34,5.34,2.41
30,30,"2024-09-05 00:17:00","2024-09-05 08:17:00",3,881.2,NaN,78.83,8.32,32.9,44.6,56.61,2.12
31,31,"2024-09-05 00:17:00","2024-09-05 07:17:00",3,567.44,NaN,40.1,9.92,88.69,48.9,66.36,1.35
32,32,"2024-09-05 00:17:00","2024-09-05 07:17:00",5,821.11,NaN,58.95,19.31,31.47,75.9,91.51,8.04
33,33,"2024-09-05 00:17:00","2024-09-05 00:17:00",1,267.03,0,9.34,57.22,3.93,3.97,4.54,0.52
34,34,"2024-09-05 00:17:00","2024-09-05 00:17:00",2,453.95,0,5.4,49.35,3.99,10.87,24.3,3.29
35,35,"2024-09-05 00:18:00","2024-09-05 02:48:00",5,1976.01,NaN,257.73,NaN,148.77,25.79,55.4,9.5
36,36,"2024-09-05 00:18:00","2024-09-05 06:18:00",1,473.98,NaN,10.97,11.62,5.19,8.47,12.66,4.88
37,37,"2024-09-05 00:18:00","2024-09-05 08:18:00",2,387.19,NaN,31.53,15.74,17.41,21.98,26.29,3.83
38,38,"2024-09-05 00:18:00","2024-09-05 07:18:00",5,1815.8,NaN,56.89,1.86,93.46,156.16,201.88,11.91
39,39,"2024-09-05 00:18:00","2024-09-05 07:18:00",5,6301.88,NaN,108.3,0.07,125.89,166.86,202.74,23.31
40,40,"2024-09-05 00:18:00","2024-09-05 07:18:00",3,667.57,NaN,39.76,13.23,52.93,44.41,68.95,5.83
41,41,"2024-09-05 00:18:00","2024-09-05 07:18:00",5,647.54,NaN,22.62,29.33,26.94,105.23,123.73,5.89
42,42,"2024-09-05 00:18:00","2024-09-05 04:48:00",3,534.06,NaN,32.22,0.26,75.34,26.75,29.49,0.67
43,43,"2024-09-05 00:18:00","2024-09-05 02:18:00",2,403.88,0,3.51,46.49,2.21,7.3,23.55,4.69
44,44,"2024-09-05 00:18:00","2024-09-05 02:18:00",2,267.03,0,10.03,80.11,20.27,12.22,46.43,0.81
45,45,"2024-09-05 00:18:00","2024-09-05 07:18:00",3,393.87,NaN,9.51,43.63,5.07,30.55,31.69,2.66
46,46,"2024-09-05 00:18:00","2024-09-05 02:18:00",3,201.94,0,9.94,92.98,19.55,17.33,64.22,0.75
47,47,"2024-09-05 00:18:00","2024-09-05 07:18:00",5,1695.63,NaN,84.31,2.01,207.9,194.17,229.35,NaN
48,48,"2024-09-05 00:18:00","2024-09-05 07:18:00",5,1201.63,NaN,26.05,0.6,23.13,101.06,135.52,9.75
