city_id,city_name,country,latitude,longitude,population,is_capital,country_iso,national_population
1,Tokyo,JP,35.6897,139.692,37977000,t,JPN,126851000
2,Delhi,IN,28.66,77.23,29617000,f,IND,1393409038
3,Shanghai,CN,31.1667,121.467,22120000,f,CHN,1444216107
27,Paris,FR,48.8566,2.3522,11020000,t,FRA,65273511
30,Seoul,KR,37.5833,127,21794000,t,KOR,51780579
33,London,GB,51.5072,-0.1275,10979000,t,GBR,68207114
44,New York,US,40.6943,-73.9249,18713220,f,USA,331893745
56,Singapore,SG,1.3,103.8,5745000,t,SGP,5850342
59,Barcelona,ES,41.3825,2.1769,4588000,f,ESP,46754778
65,Sydney,AU,-33.865,151.209,5312163,f,AUS,25687041
