pollution_id,city_id,date_time,local_time,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1,1,2024-09-30 20:09:00,2024-10-01 04:09:00,1,293.73,NaN,31.87,3.8,10.85,9.07,14.9,2.09
2,2,2024-09-30 20:09:00,2024-10-01 00:39:00,5,2109.53,NaN,41.13,0.48,15.5,181.53,246.21,7.73
3,3,2024-09-30 20:09:00,2024-10-01 03:09:00,5,7583.62,NaN,86.37,NaN,869.75,275.88,310.44,NaN
4,27,2024-09-30 20:09:00,2024-09-30 21:09:00,2,240.33,0,4.41,72.24,0.94,1.42,2.55,1.43
5,30,2024-09-30 20:09:00,2024-10-01 04:09:00,4,1148.22,NaN,83.63,NaN,22.17,56.02,67.35,1.17
6,33,2024-09-30 20:09:00,2024-09-30 20:09:00,2,233.65,0,7.2,60.8,2.12,0.64,0.77,1.03
7,44,2024-09-30 20:09:00,2024-09-30 15:09:00,2,303.75,NaN,21.08,94.41,8.35,5.68,7.61,1.3
8,56,2024-09-30 20:09:00,2024-10-01 03:09:00,1,480.65,NaN,16.62,0.33,18.36,6.7,8.64,3.96
9,59,2024-09-30 20:09:00,2024-09-30 21:09:00,2,257.02,0,9.68,67.95,0.58,3.01,8.67,2.69
10,65,2024-09-30 20:10:00,2024-10-01 05:10:00,1,313.76,NaN,36.33,3.58,12.4,8.37,13.85,2.09
11,1,2024-09-30 20:20:00,2024-10-01 04:20:00,1,293.73,NaN,31.87,3.8,10.85,9.07,14.9,2.09
12,2,2024-09-30 20:20:00,2024-10-01 00:50:00,5,2109.53,NaN,41.13,0.48,15.5,181.53,246.21,7.73
13,3,2024-09-30 20:20:00,2024-10-01 03:20:00,5,7583.62,NaN,86.37,NaN,869.75,275.88,310.44,NaN
14,27,2024-09-30 20:20:00,2024-09-30 21:20:00,2,240.33,0,4.41,72.24,0.94,1.42,2.55,1.43
15,30,2024-09-30 20:20:00,2024-10-01 04:20:00,4,1148.22,NaN,83.63,NaN,22.17,56.02,67.35,1.17
16,33,2024-09-30 20:20:00,2024-09-30 20:20:00,2,233.65,0,7.2,60.8,2.12,0.64,0.77,1.03
17,44,2024-09-30 20:21:00,2024-09-30 15:21:00,2,303.75,NaN,21.08,94.41,8.35,5.68,7.61,1.3
18,56,2024-09-30 20:21:00,2024-10-01 03:21:00,1,480.65,NaN,16.62,0.33,18.36,6.7,8.64,3.96
19,59,2024-09-30 20:21:00,2024-09-30 21:21:00,2,257.02,0,9.68,67.95,0.58,3.01,8.67,2.69
20,65,2024-09-30 20:21:00,2024-10-01 05:21:00,1,313.76,NaN,36.33,3.58,12.4,8.37,13.85,2.09
21,1,2024-09-30 21:34:00,2024-10-01 05:34:00,2,283.72,NaN,32.22,15.02,19.79,13.63,19.98,1.52
22,2,2024-09-30 21:34:00,2024-10-01 02:04:00,5,2002.72,NaN,31.19,0.02,14.54,171.78,236.57,6.97
23,3,2024-09-30 21:34:00,2024-10-01 04:34:00,5,13351.44,NaN,174.11,NaN,1358.03,625.73,683.1,NaN
24,27,2024-09-30 21:34:00,2024-09-30 22:34:00,2,226.97,0,3.09,75.82,0.81,1.08,2.22,1.3
25,30,2024-09-30 21:34:00,2024-10-01 05:34:00,3,761.03,NaN,76.08,NaN,25.51,45.36,56.67,0.6
26,33,2024-09-30 21:35:00,2024-09-30 21:35:00,1,233.65,0,6.68,57.94,1.97,0.86,1.01,NaN
27,44,2024-09-30 21:35:00,2024-09-30 16:35:00,2,390.53,NaN,45.93,60.08,11.92,6.2,9.32,2.6
28,56,2024-09-30 21:35:00,2024-10-01 04:35:00,2,540.73,NaN,19.36,0.04,33.85,10.13,12.03,5.07
29,59,2024-09-30 21:35:00,2024-09-30 22:35:00,2,NaN,0,10.37,62.94,0.61,3.07,8.61,6.78
30,65,2024-09-30 21:35:00,2024-10-01 06:35:00,2,447.27,NaN,27.76,11.44,17.64,14.47,23.18,4.12
31,1,2024-09-30 23:20:00,2024-10-01 07:20:00,2,290.39,NaN,32.22,23.25,23.6,14.51,21.13,1.6
32,2,2024-09-30 23:20:00,2024-10-01 03:50:00,5,1976.01,NaN,28.1,NaN,14.9,169.18,235.12,7.03
33,3,2024-09-30 23:20:00,2024-10-01 06:20:00,5,9078.98,NaN,137.09,0.02,1007.08,408.59,458.84,NaN
34,27,2024-09-30 23:20:00,2024-10-01 00:20:00,2,226.97,0,2.83,76.53,0.82,1.09,2.35,1.31
35,30,2024-09-30 23:20:00,2024-10-01 07:20:00,3,787.74,NaN,80.88,0.14,30.99,47.34,58.84,0.87
36,33,2024-09-30 23:20:00,2024-09-30 23:20:00,1,233.65,0,6.08,57.22,1.79,0.91,1.08,NaN
37,44,2024-09-30 23:21:00,2024-09-30 18:21:00,3,NaN,NaN,74.71,19.85,14.42,8.29,13.63,4.05
38,56,2024-09-30 23:21:00,2024-10-01 06:21:00,2,1148.22,NaN,27.42,NaN,68.67,17.83,20.41,10.64
39,59,2024-09-30 23:21:00,2024-10-01 00:21:00,2,240.33,0,9.6,67.23,0.67,3.03,8.57,10.01
40,65,2024-09-30 23:21:00,2024-10-01 08:21:00,2,500.68,NaN,32.56,14.66,22.17,17.48,27.26,6.08
41,1,2024-10-01 00:20:00,2024-10-01 08:20:00,2,287.06,NaN,34.62,34.33,24.32,14.21,20.77,1.82
42,2,2024-10-01 00:20:00,2024-10-01 04:50:00,5,2029.42,NaN,26.05,NaN,16.21,170.49,238.06,7.35
43,3,2024-10-01 00:20:00,2024-10-01 07:20:00,5,6141.66,NaN,97.33,0.29,846.86,227.43,273.62,NaN
44,27,2024-10-01 00:20:00,2024-10-01 01:20:00,2,223.64,0,2.72,75.82,0.83,1.13,2.58,1.28
45,30,2024-10-01 00:20:00,2024-10-01 08:20:00,4,781.06,NaN,91.85,0.89,36.24,50.54,61.91,0.93
46,33,2024-10-01 00:20:00,2024-10-01 00:20:00,1,233.65,0,5.4,56.51,1.79,0.95,1.16,1.05
47,44,2024-10-01 00:21:00,2024-09-30 19:21:00,3,554.09,NaN,78.83,2.53,14.07,9.58,16.59,4.12
48,56,2024-10-01 00:21:00,2024-10-01 07:21:00,3,2643.59,NaN,46.61,0.02,141.14,35.14,38.57,19.51
49,59,2024-10-01 00:21:00,2024-10-01 01:21:00,2,243.66,0,9.43,65.09,0.7,3.27,8.82,12.92
50,65,2024-10-01 00:21:00,2024-10-01 09:21:00,2,473.98,NaN,39.41,23.6,28.13,18.57,27.94,7.16
51,1,2024-10-01 01:20:00,2024-10-01 09:20:00,2,NaN,NaN,23.65,73.67,16.69,8.7,13.39,1.19
52,2,2024-10-01 01:20:00,2024-10-01 05:50:00,5,2216.34,NaN,23.99,NaN,19.55,178.97,255.04,8.87
53,3,2024-10-01 01:20:00,2024-10-01 08:20:00,5,5500.79,NaN,87.05,0.76,808.72,187.51,231.43,NaN
54,27,2024-10-01 01:20:00,2024-10-01 02:20:00,2,226.97,0,2.96,74.39,0.89,1.23,2.94,1.17
55,30,2024-10-01 01:20:00,2024-10-01 09:20:00,3,607.49,NaN,97.33,3.58,37.19,36.51,44.17,1.31
56,33,2024-10-01 01:20:00,2024-10-01 01:20:00,1,233.65,0,5.01,55.08,1.82,0.99,1.22,NaN
57,44,2024-10-01 01:21:00,2024-09-30 20:21:00,3,607.49,NaN,71.97,0.06,12.64,10.81,19.29,3.71
58,56,2024-10-01 01:21:00,2024-10-01 08:21:00,4,4005.43,NaN,69.23,0.34,200.27,54.24,58.53,25.33
59,59,2024-10-01 01:21:00,2024-10-01 02:21:00,1,NaN,0,9.77,57.22,0.73,3.54,8.97,12.03
60,65,2024-10-01 01:21:00,2024-10-01 10:21:00,1,300.41,NaN,23.65,54.36,19.31,8.64,14.15,3.58
61,1,2024-10-01 06:16:00,2024-10-01 14:16:00,2,216.96,NaN,18.68,87.98,12.16,3.9,6.72,1.22
62,2,2024-10-01 06:16:00,2024-10-01 10:46:00,5,1428.6,NaN,20.39,177.38,26.46,183.18,240.25,20.01
63,3,2024-10-01 06:16:00,2024-10-01 13:16:00,5,2510.07,NaN,65.8,0.34,400.54,56.26,72.13,0.55
64,27,2024-10-01 06:16:00,2024-10-01 07:16:00,1,277.04,0,10.88,57.94,1.83,3.34,6.7,1.05
65,30,2024-10-01 06:16:00,2024-10-01 14:16:00,1,350.48,NaN,27.76,17.7,10.85,5.44,6.93,NaN
66,33,2024-10-01 06:16:00,2024-10-01 06:16:00,1,236.99,NaN,11.65,40.77,4.35,2.29,3.13,0.67
67,44,2024-10-01 06:16:00,2024-10-01 01:16:00,2,370.5,NaN,42.16,9.12,6.8,5.52,11.91,1.01
68,56,2024-10-01 06:16:00,2024-10-01 13:16:00,2,473.98,NaN,33.24,13.77,42.44,7.04,9.42,0.79
69,59,2024-10-01 06:17:00,2024-10-01 07:17:00,1,343.8,NaN,21.08,0.53,1.22,7.27,12.44,8.11
70,65,2024-10-01 06:17:00,2024-10-01 15:17:00,2,233.65,NaN,6.51,71.53,5.42,3.67,6.86,0.98
71,1,2024-10-01 07:20:00,2024-10-01 15:20:00,2,226.97,,27.42,64.37,14.78,2.8,5.17,1.24
72,2,2024-10-01 07:20:00,2024-10-01 11:50:00,5,881.2,,6.94,194.55,19.07,124.64,155.95,12.16
73,3,2024-10-01 07:20:00,2024-10-01 14:20:00,5,2376.56,,70.6,0.96,392.91,51.89,68.98,0.86
74,27,2024-10-01 07:20:00,2024-10-01 08:20:00,1,283.72,,12.34,53.64,2.03,3.73,7.49,1.11
75,30,2024-10-01 07:20:00,2024-10-01 15:20:00,1,340.46,,26.39,30.4,11.09,6.23,8.1,1.25
76,33,2024-10-01 07:20:00,2024-10-01 07:20:00,1,243.66,,16.79,35.41,5.13,3.17,4.92,0.82
77,44,2024-10-01 07:21:00,2024-10-01 02:21:00,1,337.12,,32.9,17.52,6.2,NaN,10.21,0.87
78,56,2024-10-01 07:21:00,2024-10-01 14:21:00,2,460.63,,30.85,16.63,40.05,6.12,8.22,0.85
79,59,2024-10-01 07:21:00,2024-10-01 08:21:00,1,383.85,,22.96,0.48,1.45,7.91,13.25,8.49
80,65,2024-10-01 07:21:00,2024-10-01 16:21:00,2,243.66,,9.08,66.52,5.72,3.4,6.47,1.3
81,1,2024-10-01 08:20:00,2024-10-01 16:20:00,2,267.03,,45.93,35.41,19.79,3.15,5.83,1.54
82,2,2024-10-01 08:20:00,2024-10-01 12:50:00,5,767.71,,5.36,180.24,15.14,96.28,121.05,9.88
83,3,2024-10-01 08:20:00,2024-10-01 15:20:00,5,2456.67,,72.66,0.54,408.17,54.28,74.8,1.3
84,27,2024-10-01 08:20:00,2024-10-01 09:20:00,1,270.37,,10.37,55.79,2.09,3.34,7.38,1.16
85,30,2024-10-01 08:20:00,2024-10-01 16:20:00,1,360.49,,35.99,32.54,12.64,9.43,12.16,1.63
86,33,2024-10-01 08:20:00,2024-10-01 08:20:00,1,240.33,,16.28,38.27,5.13,3.56,6.51,0.93
87,44,2024-10-01 08:20:00,2024-10-01 03:20:00,1,327.11,,30.16,19.67,6.5,5.04,9.77,0.89
88,56,2024-10-01 08:21:00,2024-10-01 15:21:00,2,487.33,,32.56,16.63,41.01,6.46,8.45,1.03
89,59,2024-10-01 08:21:00,2024-10-01 09:21:00,1,363.83,,19.54,4.07,1.01,6.26,11.59,4.94
90,65,2024-10-01 08:21:00,2024-10-01 17:21:00,1,257.02,,12.85,59.37,6.14,3.58,6.87,1.6
91,1,2024-10-01 09:36:00,2024-10-01 17:36:00,3,353.81,NaN,71.97,0.4,36.24,5.62,9.54,1.79
92,2,2024-10-01 09:36:00,2024-10-01 14:06:00,5,807.76,NaN,10.11,154.5,14.54,85.55,117.08,10.39
93,3,2024-10-01 09:36:00,2024-10-01 16:36:00,5,2456.67,NaN,78.14,0.02,408.17,57.47,85.38,2.76
94,27,2024-10-01 09:29:00,2024-10-01 10:29:00,2,253.68,NaN,7.8,60.08,2.09,2.78,6.93,1.16
95,30,2024-10-01 09:36:00,2024-10-01 17:36:00,2,380.52,NaN,47.3,45.06,15.74,12.82,18.84,2.53
96,33,2024-10-01 09:36:00,2024-10-01 09:36:00,1,236.99,NaN,10.97,57.22,4.53,2.99,6.32,0.96
97,44,2024-10-01 09:37:00,2024-10-01 04:37:00,1,327.11,NaN,32.9,18.06,7.57,5.26,9.67,1.09
98,56,2024-10-01 09:37:00,2024-10-01 16:37:00,2,1054.76,NaN,47.98,3.89,54.36,11.4,13.65,3.33
99,59,2024-10-01 09:37:00,2024-10-01 10:37:00,2,223.64,NaN,5.14,75.1,0.68,NaN,11.89,0.91
100,65,2024-10-01 09:37:00,2024-10-01 18:37:00,1,270.37,0,13.2,55.79,6.02,3.86,8.75,1.43
101,1,2024-10-01 10:20:00,2024-10-01 18:20:00,3,357.15,NaN,74.71,0.28,35.76,7.15,11.49,2.06
102,2,2024-10-01 10:20:00,2024-10-01 14:50:00,5,747.68,NaN,9.34,155.93,15.74,87.6,122.88,9.25
103,3,2024-10-01 10:20:00,2024-10-01 17:20:00,5,2349.85,NaN,77.46,0.01,400.54,53.46,80.2,2.5
104,27,2024-10-01 10:20:00,2024-10-01 11:20:00,1,250.34,NaN,6.6,57.22,1.68,2.24,4.46,1.12
105,30,2024-10-01 10:20:00,2024-10-01 18:20:00,2,387.19,NaN,45.24,37.55,14.66,13.65,17.9,2.01
106,33,2024-10-01 10:21:00,2024-10-01 10:21:00,1,236.99,NaN,13.37,43.99,3.76,2.48,2.75,0.32
107,44,2024-10-01 10:21:00,2024-10-01 05:21:00,1,340.46,NaN,34.96,15.02,7.75,5.59,10.56,1.06
108,56,2024-10-01 10:21:00,2024-10-01 17:21:00,3,1255.04,NaN,76.77,14.66,70.57,19.18,22.5,3.9
109,59,2024-10-01 10:21:00,2024-10-01 11:21:00,2,226.97,NaN,5.18,74.39,0.78,4.14,12.65,0.89
110,65,2024-10-01 10:21:00,2024-10-01 19:21:00,1,273.71,0,16.28,46.49,5.07,3.11,6.81,1.66
111,1,2024-10-01 11:20:00,2024-10-01 19:20:00,3,417.23,38,80.2,NaN,47.68,10.4,15.5,1.76
112,2,2024-10-01 11:20:00,2024-10-01 15:50:00,5,881.2,NaN,17.82,135.9,17.64,93.25,138.79,11.78
113,3,2024-10-01 11:20:00,2024-10-01 18:20:00,5,2349.85,NaN,78.14,NaN,389.1,56.46,84.6,2.91
114,27,2024-10-01 11:20:00,2024-10-01 12:20:00,2,243.66,NaN,5.27,62.23,1.51,1.87,3.72,1.08
115,30,2024-10-01 11:20:00,2024-10-01 19:20:00,2,377.18,NaN,39.76,51.5,15.97,14.96,20.25,2.34
116,33,2024-10-01 11:20:00,2024-10-01 11:20:00,1,236.99,NaN,13.02,47.92,3.52,2.29,2.52,0.31
117,44,2024-10-01 11:21:00,2024-10-01 06:21:00,2,397.21,NaN,44.55,5.63,8.46,6.84,12.39,1.76
118,56,2024-10-01 11:21:00,2024-10-01 18:21:00,2,1869.2,NaN,69.92,0.63,73.43,23.78,27.94,5.76
119,59,2024-10-01 11:21:00,2024-10-01 12:21:00,2,223.64,NaN,3.09,85.12,0.78,3.94,12.2,0.61
120,65,2024-10-01 11:21:00,2024-10-01 20:21:00,1,277.04,0,15.08,50.07,5.07,2.95,6.53,1.57
